time,mag,cdi,mmi,dmin,place,earthquakeType,sig,tsunami,longitude,latitude,depth,country,id_e
3/6/2023 0:00:00,4.3,3.1,3.267,194.8224,"near the south coast of western Honshu, Japan",earthquake,284,0,135.8148,33.0663,19.981,japan,"2023-06-03 00:00:00_near the south coast of western Honshu, Japan_earthquake_4.3_135.8148_33.0663"
3/6/2023 0:00:00,5,2.7,3.267,48.4832,"26 km SW of Urakawa, Japan",earthquake,385,0,142.5738,41.978,61.61,japan,"2023-06-03 00:00:00_26 km SW of Urakawa, Japan_earthquake_5.0_142.5738_41.978"
3/6/2023 0:00:00,4.2,3.1,3.267,241.4152,"Hokkaido, Japan region",earthquake,271,0,145.8768,42.8265,32.171,japan region,"2023-06-03 00:00:00_Hokkaido, Japan region_earthquake_4.2_145.8768_42.8265"
2/6/2023 0:00:00,4.2,3.1,3.267,95.7432,"73 km ESE of Katsuren-haebaru, Japan",earthquake,271,0,128.5121,25.9991,10,japan,"2023-06-02 00:00:00_73 km ESE of Katsuren-haebaru, Japan_earthquake_4.2_128.5121_25.9991"
2/6/2023 0:00:00,4.1,3.1,3.267,51.708,"21 km NW of Horokanai, Japan",earthquake,259,0,141.948,44.1434,215.628,japan,"2023-06-02 00:00:00_21 km NW of Horokanai, Japan_earthquake_4.1_141.948_44.1434"
1/6/2023 0:00:00,4.4,3.1,3.267,561.1152,"61 km WSW of Kurio, Japan",earthquake,298,0,129.8607,30.0056,10,japan,"2023-06-01 00:00:00_61 km WSW of Kurio, Japan_earthquake_4.4_129.8607_30.0056"
1/6/2023 0:00:00,4.5,3.1,3.267,485.2768,"Izu Islands, Japan region",earthquake,312,0,142.278,29.2837,10,japan region,"2023-06-01 00:00:00_Izu Islands, Japan region_earthquake_4.5_142.278_29.2837"
30/5/2023 0:00:00,4.1,3.1,4.1605,398.096,"67 km E of Shikotan, Russia",earthquake,259,0,147.5477,43.918,57.242,russia,"2023-05-30 00:00:00_67 km E of Shikotan, Russia_earthquake_4.1_147.5477_43.918"
30/5/2023 0:00:00,4.4,3.1,4.1605,57.268,"142 km SSE of Shimoda, Japan",earthquake,298,0,139.2833,33.4203,11.349,japan,"2023-05-30 00:00:00_142 km SSE of Shimoda, Japan_earthquake_4.4_139.2833_33.4203"
30/5/2023 0:00:00,4.6,3.1,4.1605,124.544,"58 km ENE of Anamizu, Japan",earthquake,326,0,137.4734,37.5033,10,japan,"2023-05-30 00:00:00_58 km ENE of Anamizu, Japan_earthquake_4.6_137.4734_37.5033"
30/5/2023 0:00:00,4.3,3.1,4.1605,341.384,None,earthquake,284,0,141.8637,37.4753,41.052,None,2023-05-30 00:00:00_None_earthquake_4.3_141.8637_37.4753
29/5/2023 0:00:00,4,3.1,4.1605,192.932,"140 km NNW of Hirara, Japan",earthquake,246,0,124.8884,26.0167,184.222,japan,"2023-05-29 00:00:00_140 km NNW of Hirara, Japan_earthquake_4.0_124.8884_26.0167"
29/5/2023 0:00:00,4.1,3.1,4.1605,212.0584,"near the east coast of Honshu, Japan",earthquake,259,0,140.2563,35.5444,59.473,japan,"2023-05-29 00:00:00_near the east coast of Honshu, Japan_earthquake_4.1_140.2563_35.5444"
28/5/2023 0:00:00,4.4,3.1,4.1605,257.6504,"6 km SSE of Hasaki, Japan",earthquake,298,0,140.865,35.6786,35,japan,"2023-05-28 00:00:00_6 km SSE of Hasaki, Japan_earthquake_4.4_140.865_35.6786"
28/5/2023 0:00:00,4.2,3.1,4.1605,482.4968,"238 km SE of Shikotan, Russia",earthquake,271,0,148.973,42.4278,10,russia,"2023-05-28 00:00:00_238 km SE of Shikotan, Russia_earthquake_4.2_148.973_42.4278"
28/5/2023 0:00:00,4.4,3.1,4.1605,80.3976,"83 km SSW of Honchō, Japan",earthquake,298,0,142.6376,41.4049,41.263,japan,"2023-05-28 00:00:00_83 km SSW of Honchō, Japan_earthquake_4.4_142.6376_41.4049"
