id,year,month,day,hour,locationName,latitude,longitude,eqMagnitude,intensity,damageAmountOrder,housesDestroyedAmountOrder,tsunamiEventId,eqMagMs,publish,deathsTotal,deathsAmountOrderTotal,damageAmountOrderTotal,housesDestroyedAmountOrderTotal,country,regionCode,minute,deaths,deathsAmountOrder,injuries,injuriesAmountOrder,housesDamagedAmountOrder,injuriesTotal,injuriesAmountOrderTotal,housesDamagedAmountOrderTotal,eqDepth,second,eqMagMw,eqMagMb,eqMagUnk,damageMillionsDollars,housesDestroyed,damageMillionsDollarsTotal,housesDestroyedTotal,housesDamaged,housesDamagedTotal,eqMagMl,volcanoEventId,eqMagMfa,missing,missingAmountOrder,missingTotal,missingAmountOrderTotal
3901,1949,4,20,3.0,"CHILE:  ANGOL, TRAIGUEN",-38.0,-73.5,7.3,,2.0,,1792.0,7.3,True,57.0,2.0,2.0,,CHILE,160,29.0,57.0,2.0,,,,,,,70.0,7.0,,,,,,,,,,,,,,,,
4930,1981,10,16,3.0,"CHILE:  OFF CENTRAL COAST, LAS CRUCES",-33.134,-73.074,7.5,6.0,,,,7.5,True,1.0,1.0,,,CHILE,160,25.0,1.0,1.0,,,,,,,33.0,42.2,,6.2,,,,,,,,,,,,,,
5056,1985,3,3,22.0,"CHILE:  CENTRAL COAST, SAN ANTONIO, VALPARAISO",-33.132,-71.708,8.0,8.0,4.0,4.0,2158.0,7.8,True,180.0,3.0,4.0,4.0,CHILE,160,47.0,180.0,3.0,2575.0,4.0,,2575.0,4.0,,40.0,9.5,8.0,6.7,,1500.0,,1500.0,,,,,,,,,,
5062,1985,4,9,1.0,"CHILE:  NEAR CENTRAL COAST, SANTIAGO-VALPARAISO",-34.131,-71.618,7.5,6.0,2.0,,,7.5,True,2.0,1.0,,,CHILE,160,56.0,2.0,1.0,,2.0,,,2.0,,38.0,59.4,,6.3,7.0,,,,,,,,,,,,,
6081,1928,11,20,20.0,CHILE:  NORTHERN,-22.5,-70.5,7.1,,,,1608.0,7.1,True,,,,,CHILE,160,35.0,,,,,,,,,33.0,7.0,,,,,,,,,,,,,,,,
6390,1960,11,1,8.0,CHILE:  CONCEPCION,-38.5,-75.1,7.4,,1.0,,1906.0,7.4,True,,1.0,1.0,,CHILE,160,45.0,,1.0,,,,,,,55.0,59.0,,,,,,,,,,,,,,,,
6402,1961,10,18,16.0,"CHILE:  VALDIVIA, CURICO",-36.7,-73.0,6.5,,1.0,,1926.0,6.5,True,,1.0,1.0,,CHILE,160,51.0,,1.0,,,,,,,15.0,57.0,,,,,,,,,,,,,,,,
6447,1975,3,13,15.0,"CHILE:  COQUIMBO, LA SERENA",-29.9,-71.3,6.9,8.0,1.0,,2074.0,6.9,True,2.0,1.0,1.0,,CHILE,160,26.0,2.0,1.0,25.0,1.0,,25.0,1.0,,4.0,42.5,,6.2,,,,,,,,,,,,,,
6500,1996,9,5,8.0,CHILE:  EASTER ISLAND REGION,-22.118,-113.436,6.9,,,,2266.0,7.0,True,,,,,CHILE,160,14.0,,,,,,,,,10.0,14.4,6.9,6.2,,,,,,,,,,,,,,
7465,2007,4,21,17.0,CHILE:  SOUTHERN,-45.243,-72.648,6.2,7.0,1.0,,3044.0,6.3,True,10.0,1.0,1.0,,CHILE,160,53.0,2.0,1.0,,,1.0,,,1.0,37.0,46.3,6.2,6.1,,,,,,2.0,2.0,,,,,,,
7634,2007,11,14,15.0,"CHILE:  TOCOPILLA, MARIA ELENA",-22.247,-69.89,7.7,8.0,3.0,4.0,3293.0,7.4,True,2.0,1.0,3.0,4.0,CHILE,160,40.0,2.0,1.0,65.0,2.0,,65.0,2.0,,40.0,50.5,7.7,6.7,,,,,,,,,,,,,,
7723,2007,12,15,18.0,"CHILE:  OFF CENTRAL COAST, VINA DEL MAR, VALPARAISO",-32.689,-71.695,5.9,,1.0,1.0,,5.7,True,,,1.0,1.0,CHILE,160,22.0,,,4.0,1.0,,4.0,1.0,,25.0,27.1,5.9,5.5,,,,,,,,6.0,,,,,,
10224,2016,12,25,14.0,CHILE,-43.517,-74.391,7.6,7.0,1.0,,5637.0,,True,,,1.0,,CHILE,160,22.0,,,,,,,,,30.0,0.0,7.6,,,,,,,,,,,,,,,
10522,2020,12,27,21.0,CHILE:  OFF COAST CENTRAL,-39.343,-74.99,6.7,5.0,,,5760.0,,True,,,,,CHILE,160,39.0,,,,,,,,,10.0,14.0,6.7,,,,,,,,,,,,,,,
767,1575,12,16,18.0,CHILE:  VALDIVIA,-39.8,-73.2,8.5,10.0,3.0,,185.0,8.5,True,1321.0,4.0,3.0,2.0,CHILE,160,30.0,21.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
970,1647,5,14,2.0,CHILE:  SANTIAGO,-33.4,-70.6,8.5,11.0,4.0,3.0,,8.5,True,1000.0,3.0,4.0,3.0,CHILE,160,30.0,1000.0,3.0,,,,,,,,,,,,,300.0,,300.0,,,,,,,,,
1533,1796,3,30,10.0,"CHILE:  COPIAPO, VALLENAR, HUASCO, COQUIMBO",-27.35,-70.35,7.7,11.0,2.0,3.0,,,True,,1.0,2.0,3.0,CHILE,160,45.0,,1.0,,,,,,,,,,,7.7,,,,,,,,,,,,,
1635,1819,4,3,14.0,CHILE:  COPIAPO,-27.4,-70.3,8.0,,2.0,2.0,,,True,,,2.0,2.0,CHILE,160,0.0,,,,,,,,,,,,,8.0,,,,,,,,,,,,,
1902,1849,11,17,10.0,CHILE:  COQUIMBO,-29.95,-71.37,7.5,8.0,1.0,,772.0,7.5,True,,1.0,1.0,,CHILE,160,10.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
2289,1880,8,15,12.0,CHILE:  ILLAPEL,-31.62,-71.18,7.7,10.0,3.0,3.0,1118.0,7.7,True,2.0,1.0,3.0,3.0,CHILE,160,48.0,2.0,1.0,,,,,,,,,,,,,600.0,,600.0,,,,,,,,,
4227,1960,5,22,19.0,"CHILE:  PUERTO MONTT, VALDIVIA",-38.143,-73.407,9.5,12.0,4.0,4.0,1902.0,8.5,True,2226.0,4.0,4.0,4.0,CHILE,160,11.0,2000.0,4.0,3000.0,4.0,,3000.0,4.0,,33.0,17.0,9.5,,,1000.0,58622.0,1000.0,58622.0,,,,4153.0,,,,,
4345,1965,3,28,16.0,CHILE:  CENTRAL,-32.4,-71.2,7.3,,4.0,,,,True,,,,,CHILE,160,33.0,400.0,3.0,,,,,,,61.0,0.0,,,7.3,125.0,,,,,,,,,,,,
6093,1931,3,18,8.0,CHILE:  CENTRAL,-32.5,-72.0,7.1,,,,1640.0,7.1,True,,,,,CHILE,160,2.0,,,,,,,,,33.0,23.0,,,,,,,,,,,,,,,,
6421,1967,11,15,21.0,CHILE:  NORTHERN,-28.78,-71.19,5.9,,,,1991.0,5.9,True,,,,,CHILE,160,32.0,,,,,,,,,35.0,54.0,,,,,,,,,,,,,,,,
6546,1957,7,29,17.0,CHILE:  ANTOFAGASTA,-23.5,-71.5,7.0,3.0,,,1871.0,7.0,True,,,,,CHILE,160,15.0,,,,,,,,,33.0,14.0,,,,,,,,,,,,,,,,
9920,2012,3,25,22.0,"CHILE:  PARRAL, SANTIAGO",-35.2,-72.217,7.2,,1.0,,,7.0,True,1.0,1.0,1.0,,CHILE,160,37.0,1.0,1.0,14.0,1.0,2.0,14.0,1.0,2.0,41.0,6.0,7.2,6.5,,,,,,,,,,,,,,
10244,2017,4,24,21.0,CHILE:  VALPARAISO,-33.038,-72.062,6.9,9.0,,,5647.0,,True,,,,,CHILE,160,39.0,,,,,,,,,28.0,22.0,6.9,6.3,,,,,,,,,,,,,,
1638,1819,4,12,3.0,CHILE:  COPIAPO,-27.0,-71.5,8.5,10.0,3.0,3.0,626.0,,True,,1.0,3.0,3.0,CHILE,160,0.0,,1.0,,,,,,,,,,,,,,,,,,,,8.5,,,,
2253,1878,1,23,12.0,CHILE:  TARAPACA,-19.92,-70.335,7.9,8.0,3.0,3.0,1090.0,7.9,True,,1.0,3.0,3.0,CHILE,160,5.0,,1.0,,,,,,,40.0,,,,,,,,,,,,,,,,,
3129,1918,12,4,11.0,CHILE:  COPIAPO,-26.0,-71.0,7.8,,3.0,3.0,1461.0,7.8,True,,1.0,3.0,3.0,CHILE,160,47.0,,1.0,,,,,,,,48.0,,,,,,,,,,,,,,,,
