id,year,month,day,hour,locationName,latitude,longitude,eqMagnitude,eqDepth,damageAmountOrder,damageMillionsDollars,publish,housesDestroyedAmountOrderTotal,country,deathsAmountOrder,injuriesAmountOrderTotal,intensity
5300,1991,7.0,23.0,19.0,"PERU:  MACA, CHIVAY, YANQUE",-15.679,-71.574,4.7,5.0,2.0,,True,3.0,PERU,2.0,1.0,5.0
4076,1955,7.0,16.0,7.0,"TURKEY:  SOKE, AYDIN",37.5,27.0,6.8,,3.0,,True,,TURKEY,1.0,,9.0
2518,1897,9.0,20.0,16.0,PERU,-11.9,-76.8,7.7,70.0,,,True,,PERU,,,7.0
5124,1987,1.0,26.0,11.0,"ALGERIA:  MOHAMMADIA, QUED, FODDA, TISSEMSILT",35.964,1.374,4.3,10.0,2.0,1.0,True,3.0,ALGERIA,1.0,1.0,
2963,1912,9.0,29.0,20.0,"MICRONESIA, FED. STATES OF:  CAROLINE ISLANDS",7.0,138.0,7.5,50.0,,,True,,"MICRONESIA, FED. STATES OF",,,
3498,1932,8.0,14.0,4.0,MYANMAR; INDIA:  ASSAM,26.0,95.5,7.0,120.0,2.0,,True,,MYANMAR (BURMA),,,
1286,1742,11.0,18.0,,RUSSIA:  KURIL ISLANDS,50.5,157.0,7.5,40.0,,,True,,RUSSIA,,,
3762,1943,11.0,6.0,8.0,INDONESIA:  NEW GUINEA:  IRIAN JAYA:  ARU ISLANDS,-6.0,134.5,7.6,60.0,,,True,,INDONESIA,,,
3527,1934,1.0,12.0,13.0,CHINA:  YUNNAN PROVINCE,23.7,102.7,6.0,,2.0,,True,3.0,CHINA,1.0,1.0,8.0
1129,1693,1.0,9.0,21.0,"ITALY:  SICILY, CALABRIA, CATANIA",37.333,15.167,6.0,,4.0,,True,3.0,ITALY,4.0,,11.0
1178,1707,10.0,28.0,5.0,JAPAN:  NANKAIDO,33.2,134.8,8.4,,4.0,,True,4.0,JAPAN,4.0,,
1865,1845,2.0,8.0,7.0,"INDONESIA:  N SULAWESI:  MENADO, TIKALA, TOMOHON",1.48,124.85,7.0,,2.0,,True,3.0,INDONESIA,3.0,,9.0
2994,1914,1.0,12.0,,JAPAN:  SAKURIJIMA,31.58,130.67,7.1,,1.0,,True,4.0,JAPAN,1.0,3.0,
6309,1889,9.0,6.0,12.0,INDONESIA:  N. MOLUCCAS ISLANDS,1.0,126.25,8.0,70.0,2.0,,True,2.0,INDONESIA,,,
6625,1878,2.0,11.0,,VANUATU ISLANDS,-19.0,168.5,8.0,,,,True,,VANUATU,,,
7221,1982,3.0,28.0,4.0,MEXICO:  CHIAPAS,17.25,-93.21,3.5,9.0,1.0,,True,,MEXICO,1.0,,
10140,2015,5.0,2.0,16.0,JAPAN:  HONSHU:  S. OF,31.529,140.213,5.7,10.0,,,True,,JAPAN,,,
10555,2006,1.0,1.0,7.0,JAPAN:  HONSHU:  S. OF,31.394,140.131,5.6,10.0,,,True,,JAPAN,,,
10375,2018,11.0,25.0,16.0,IRAN: KERMANSHAH; IRAQ: KURDISTAN,34.361,45.744,6.3,18.0,1.0,,True,,IRAN,1.0,3.0,
3565,1935,12.0,15.0,7.0,SOLOMON ISLANDS,-9.8,161.0,7.6,60.0,,,True,,SOLOMON ISLANDS,,,
2886,1909,8.0,14.0,6.0,JAPAN:  OOMI,35.4,136.3,6.9,33.0,3.0,,True,3.0,JAPAN,1.0,,
318,1008,4.0,11.0,,IRAN-IRAQ:  DAINAWAR,27.665,52.348,6.5,,4.0,,True,,IRAN,4.0,,
1066,1673,7.0,30.0,,"IRAN:  MASHHAD, NEYSHABUR (NISHAPUR)",36.3,59.3,6.6,,3.0,,True,3.0,IRAN,4.0,,8.0
5603,2001,7.0,5.0,13.0,"PERU:  CARAVELI, CHALA, ARICA, IQUIQUE, PARINACOTA",-16.086,-73.987,6.6,62.0,2.0,,True,3.0,PERU,,,
6381,1958,11.0,4.0,22.0,EAST PACIFIC RIDGE,-50.0,-115.0,6.1,,,,True,,PACIFIC OCEAN,,,
